pos,player_name,seed,tag,country
1,"AUGER-ALIASSIME, Felix",1,,CAN
2,,,BYE,
5,"CAZAUX, Arthur",,,FRA
6,"MANNARINO, Adrian",,,FRA
7,"ROYER, Valentin",,,FRA
8,"NORRIE, Cameron",7,,GBR
9,"COBOLLI, Flavio",4,,ITA
10,,,BYE,
12,"SONEGO, Lorenzo",,,ITA
13,"ATMANE, Terence",,,FRA
14,"GASTON, Hugo",,WC,FRA
15,"ALTMAIER, Daniel",,,GER
16,"RINDERKNECH, Arthur",6,,FRA
17,"GRIEKSPOOR, Tallon",5,,NED
18,"KOVACEVIC, Aleksandar",,,USA
20,"NG BLOCKX, Alexander",,,BEL
21,"MPETSHI PERRICARD, …",,,FRA
24,"BUBLIK, Alexander",3,,KAZ
25,"MOUTET, Corentin",8,,FRA
26,"VUKIC, Aleksandar",,,AUS
27,"BERRETTINI, Matteo",,,ITA
28,"HALYS, Quentin",,,FRA
29,"BLANCHET, Ugo",,WC,FRA
30,"TIEN, Learner",,,USA
5,"Griekspoor, Tallon 25",,,
6,"Rinderknech, Arthur 29",,,
7,"Norrie, Cameron 31",,,
8,"Moutet, Corentin 32",,,
