seed,id,name
1,Jannik Sinner, Jannik Sinner
2,Vit KOPRIVA,Vit KOPRIVA
3,Alexei POPYRIN,Alexei POPYRIN
4,Emil RUUSUVUORI,Emil RUUSUVUORI
5,Valentin Royer,Valentin Royer
6,BU Yunchaokete,BU Yunchaokete
7,Marton FUCSOVICS,Marton FUCSOVICS
8,Denis SHAPOVALOV,Denis SHAPOVALOV
9,Alexander BUBLIK,Alexander BUBLIK
10,Marin CILIC,Marin CILIC
11,Lorenzo SONEGO,Lorenzo SONEGO
12,Tristan SCHOOLKATE,Tristan SCHOOLKATE
13,Nuno BORGES,Nuno BORGES
14,Brandon HOLT,Brandon HOLT
15,Elmer MOLLER,Elmer MOLLER
16,Tommy PAUL,Tommy PAUL
17,Lorenzo MUSETTI,Lorenzo MUSETTI
18,Giovanni MPETSHI,Giovanni MPETSHI
19,Quentin HALYS,Quentin HALYS
20,David GOFFIN,David GOFFIN
21,Jenson BROOKSBY,Jenson BROOKSBY
22,Aleksandar VUKIC,Aleksandar VUKIC
23,Francesco PASSARO,Francesco PASSARO
24,Flavio COBOLLI,Flavio COBOLLI
25,Gabriel DIALLO,Gabriel DIALLO
26,Damir DZUMHUR,Damir DZUMHUR
27,Jaume MUNAR,Jaume MUNAR
28,Jaime FARIA,Jaime FARIA
29,Zizou BERGS,Zizou BERGS
30,Chun-Hsin TSENG,Chun-Hsin TSENG
31,Federico GOMEZ,Federico GOMEZ
32,Jack DRAPER,Jack DRAPER
33,Alexander ZVEREV,Alexander ZVEREV
34,Alejandro TABILO,Alejandro TABILO
35,Roberto BAUTISTA,Roberto BAUTISTA
36,Jacob FEARNLEY,Jacob FEARNLEY
37,Gael MONFILS,Gael MONFILS
38,Roman SAFIULLIN,Roman SAFIULLIN
39,Billy HARRIS,Billy HARRIS
40,Felix AUGER-ALIASSIME,Felix AUGER-ALIASSIME
41,Ugo HUMBERT,Ugo HUMBERT
42,Adam WALTON,Adam WALTON
43,Aleksandar KOVACEVIC,Aleksandar KOVACEVIC
44,Coleman WONG,Coleman WONG
45,James DUCKWORTH,James DUCKWORTH
46,Tristan BOYER,Tristan BOYER
47,Dino PRIZMIC,Dino PRIZMIC
48,Andrey RUBLEV,Andrey RUBLEV
